%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1494414947558563484,0,1494414947558563484,gps,0,0,47.3960189819,8.6482000351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414947658591259,0,1494414947658591259,gps,0,0,47.3960342407,8.6482000351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414947758534292,0,1494414947758534292,gps,0,0,47.3960342407,8.6482000351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414947858591123,0,1494414947858591123,gps,0,0,47.3960533142,8.64820575714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414947958541211,0,1494414947958541211,gps,0,0,47.3960533142,8.64820575714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948058522398,0,1494414948058522398,gps,0,0,47.396068573,8.64821624756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948158946633,0,1494414948158946633,gps,0,0,47.396068573,8.64821624756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948258583977,0,1494414948258583977,gps,0,0,47.3960800171,8.648229599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948358623589,0,1494414948358623589,gps,0,0,47.3960800171,8.648229599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948458587276,0,1494414948458587276,gps,0,0,47.3960914612,8.64824485779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948558527402,0,1494414948558527402,gps,0,0,47.3960914612,8.64824485779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948658517526,0,1494414948658517526,gps,0,0,47.39610672,8.64825820923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948758562042,0,1494414948758562042,gps,0,0,47.39610672,8.64825820923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948858545543,0,1494414948858545543,gps,0,0,47.3961219788,8.64826869965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414948958551418,0,1494414948958551418,gps,0,0,47.3961219788,8.64826869965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949058587068,0,1494414949058587068,gps,0,0,47.3961410522,8.64827728271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949158923505,0,1494414949158923505,gps,0,0,47.3961410522,8.64827728271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949258570371,0,1494414949258570371,gps,0,0,47.3961524963,8.64828205109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949358537826,0,1494414949358537826,gps,0,0,47.3961524963,8.64828205109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949458473391,0,1494414949458473391,gps,0,0,47.3961715698,8.64828205109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949558567925,0,1494414949558567925,gps,0,0,47.3961715698,8.64828205109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949658534628,0,1494414949658534628,gps,0,0,47.3961830139,8.64827728271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949758615231,0,1494414949758615231,gps,0,0,47.3961830139,8.64827728271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949858530699,0,1494414949858530699,gps,0,0,47.396194458,8.64826488495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414949958561222,0,1494414949958561222,gps,0,0,47.396194458,8.64826488495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950058478984,0,1494414950058478984,gps,0,0,47.3962020874,8.64824867249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950158895491,0,1494414950158895491,gps,0,0,47.3962020874,8.64824867249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950258542488,0,1494414950258542488,gps,0,0,47.3962059021,8.64823150635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950358599484,0,1494414950358599484,gps,0,0,47.3962059021,8.64823150635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950458568574,0,1494414950458568574,gps,0,0,47.3962020874,8.64821338654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950558488823,0,1494414950558488823,gps,0,0,47.3962020874,8.64821338654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950658531380,0,1494414950658531380,gps,0,0,47.396194458,8.64819717407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950758546190,0,1494414950758546190,gps,0,0,47.396194458,8.64819717407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950858514953,0,1494414950858514953,gps,0,0,47.3961868286,8.64818382263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414950958522647,0,1494414950958522647,gps,0,0,47.3961868286,8.64818382263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951058494802,0,1494414951058494802,gps,0,0,47.3961715698,8.64817523956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951158844522,0,1494414951158844522,gps,0,0,47.3961715698,8.64817523956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951258631215,0,1494414951258631215,gps,0,0,47.3961601257,8.64816856384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951358467850,0,1494414951358467850,gps,0,0,47.3961601257,8.64816856384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951458505844,0,1494414951458505844,gps,0,0,47.3961486816,8.64816188812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951558535375,0,1494414951558535375,gps,0,0,47.3961486816,8.64816188812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951658492795,0,1494414951658492795,gps,0,0,47.3961334229,8.64815330505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951758568878,0,1494414951758568878,gps,0,0,47.3961334229,8.64815330505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951858530825,0,1494414951858530825,gps,0,0,47.3961181641,8.64814090729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414951958527789,0,1494414951958527789,gps,0,0,47.3961181641,8.64814090729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952058474995,0,1494414952058474995,gps,0,0,47.3961029053,8.64812660217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952158827353,0,1494414952158827353,gps,0,0,47.3961029053,8.64812660217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952258452687,0,1494414952258452687,gps,0,0,47.3960914612,8.64810943604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952358527717,0,1494414952358527717,gps,0,0,47.3960914612,8.64810943604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952458472338,0,1494414952458472338,gps,0,0,47.3960762024,8.64809322357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952558484354,0,1494414952558484354,gps,0,0,47.3960762024,8.64809322357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952658472257,0,1494414952658472257,gps,0,0,47.3960647583,8.64807510376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952758507342,0,1494414952758507342,gps,0,0,47.3960647583,8.64807510376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952858440720,0,1494414952858440720,gps,0,0,47.3960533142,8.64805793762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414952958458570,0,1494414952958458570,gps,0,0,47.3960533142,8.64805793762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953058413774,0,1494414953058413774,gps,0,0,47.3960494995,8.64804077148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953158798081,0,1494414953158798081,gps,0,0,47.3960494995,8.64804077148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953258517406,0,1494414953258517406,gps,0,0,47.3960456848,8.64802455902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953358481277,0,1494414953358481277,gps,0,0,47.3960456848,8.64802455902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953458499858,0,1494414953458499858,gps,0,0,47.3960418701,8.64800930023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953558495384,0,1494414953558495384,gps,0,0,47.3960418701,8.64800930023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
