%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1.49441486116086E+018,0,1.49441486116086E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486126046E+018,0,1.49441486126046E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.4944148613605E+018,0,1.4944148613605E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486146047E+018,0,1.49441486146047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486156043E+018,0,1.49441486156043E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486166046E+018,0,1.49441486166046E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486176047E+018,0,1.49441486176047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486186046E+018,0,1.49441486186046E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486196052E+018,0,1.49441486196052E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486206047E+018,0,1.49441486206047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486216088E+018,0,1.49441486216088E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486226045E+018,0,1.49441486226045E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486236043E+018,0,1.49441486236043E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486246047E+018,0,1.49441486246047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486256054E+018,0,1.49441486256054E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486266045E+018,0,1.49441486266045E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486276045E+018,0,1.49441486276045E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486286048E+018,0,1.49441486286048E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486296041E+018,0,1.49441486296041E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486306048E+018,0,1.49441486306048E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486316078E+018,0,1.49441486316078E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486326047E+018,0,1.49441486326047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486336047E+018,0,1.49441486336047E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486346045E+018,0,1.49441486346045E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486356048E+018,0,1.49441486356048E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486366049E+018,0,1.49441486366049E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.4944148637605E+018,0,1.4944148637605E+018,gps,0,0,47.39610672,8.64813137054,0,0,0,0,0,0,0,0,0,0,0
1.49441486386069E+018,0,1.49441486386069E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486396045E+018,0,1.49441486396045E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486406043E+018,0,1.49441486406043E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486416079E+018,0,1.49441486416079E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486426039E+018,0,1.49441486426039E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486436041E+018,0,1.49441486436041E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486446069E+018,0,1.49441486446069E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486456045E+018,0,1.49441486456045E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486466039E+018,0,1.49441486466039E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.4944148647604E+018,0,1.4944148647604E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486486038E+018,0,1.49441486486038E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486496047E+018,0,1.49441486496047E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.4944148650604E+018,0,1.4944148650604E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486516076E+018,0,1.49441486516076E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486526043E+018,0,1.49441486526043E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486536038E+018,0,1.49441486536038E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486546041E+018,0,1.49441486546041E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486556041E+018,0,1.49441486556041E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486566038E+018,0,1.49441486566038E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486576037E+018,0,1.49441486576037E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486586038E+018,0,1.49441486586038E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
1.49441486596044E+018,0,1.49441486596044E+018,gps,0,0,47.39610672,8.64813041687,0,0,0,0,0,0,0,0,0,0,0
